         52294458 function calls (37544902 primitive calls) in 47.447 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.015    0.005 C:\Users\maxim\Desktop\empty\kernel\state_system.py:88(push_state)
    17523    0.015    0.000    0.015    0.000 C:\Users\maxim\Desktop\empty\kernel\state_system.py:55(do_defers)
    17524    0.015    0.000    0.015    0.000 {built-in method time.time}
     3713    0.006    0.000    0.015    0.000 C:\Users\maxim\Desktop\empty\kernel\game_object.py:283(handle_blit_com)
       20    0.000    0.000    0.015    0.001 C:\Program Files\Python37\lib\ast.py:30(parse)
       20    0.015    0.001    0.015    0.001 {built-in method builtins.compile}
        1    0.000    0.000    0.015    0.015 <string>:14(init)
       20    0.000    0.000    0.014    0.001 C:\Program Files\Python37\lib\ast.py:198(get_docstring)
     4473    0.013    0.000    0.013    0.000 {method 'clear' of '_curses.window' objects}
      5/1    0.000    0.000    0.013    0.013 <frozen importlib._bootstrap>:978(_find_and_load)
      5/1    0.000    0.000    0.013    0.013 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      5/1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap>:663(_load_unlocked)
      4/1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap_external>:720(exec_module)
    17166    0.012    0.000    0.012    0.000 C:\Users\maxim\Desktop\empty\kernel\space.py:149(get_obj)
        2    0.000    0.000    0.011    0.006 C:\Program Files\Python37\lib\threading.py:829(start)
        2    0.000    0.000    0.011    0.006 C:\Program Files\Python37\lib\threading.py:534(wait)
        2    0.000    0.000    0.011    0.006 C:\Program Files\Python37\lib\threading.py:264(wait)
        8    0.011    0.001    0.011    0.001 {method 'acquire' of '_thread.lock' objects}
     3797    0.010    0.000    0.010    0.000 {built-in method builtins.max}
      6/1    0.000    0.000    0.010    0.010 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.010    0.010 C:\Program Files\Python37\lib\inspect.py:31(<module>)
     2192    0.003    0.000    0.008    0.000 C:\Users\maxim\Desktop\empty\kernel\quadtree.py:30(_create_child_quad)
     7961    0.008    0.000    0.008    0.000 {method 'getmaxyx' of '_curses.window' objects}
    25807    0.008    0.000    0.008    0.000 {built-in method builtins.len}
    17524    0.008    0.000    0.008    0.000 C:\Users\maxim\Desktop\empty\kernel\state_system.py:111(get_running_state)
        1    0.000    0.000    0.007    0.007 <string>:89(set_save_name)
        1    0.000    0.000    0.007    0.007 C:\Program Files\Python37\lib\curses\__init__.py:29(initscr)
        1    0.006    0.006    0.006    0.006 {built-in method _curses.initscr}
     6972    0.006    0.000    0.006    0.000 <string>:36(text)
     7426    0.006    0.000    0.006    0.000 C:\Users\maxim\Desktop\empty\kernel\game_object.py:225(has_ap)
      895    0.003    0.000    0.006    0.000 C:\Users\maxim\Desktop\empty\kernel\ui.py:34(catch_events)
       42    0.002    0.000    0.005    0.000 C:\Program Files\Python37\lib\zipfile.py:1409(open)
        6    0.005    0.001    0.005    0.001 {built-in method io.open}
     6972    0.005    0.000    0.005    0.000 <string>:53(update)
       42    0.000    0.000    0.005    0.000 C:\Program Files\Python37\lib\zipfile.py:853(read)
    17523    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
      895    0.002    0.000    0.005    0.000 C:\Users\maxim\Desktop\empty\kernel\ui.py:29(draw)
     5678    0.005    0.000    0.005    0.000 C:\Users\maxim\Desktop\empty\kernel\vector2d.py:114(__init__)
       42    0.001    0.000    0.005    0.000 C:\Program Files\Python37\lib\zipfile.py:933(_read1)
        4    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:791(get_code)
        5    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:882(_find_spec)
       71    0.000    0.000    0.004    0.000 C:\Program Files\Python37\lib\pathlib.py:980(__new__)
       23    0.004    0.000    0.004    0.000 {built-in method nt.stat}
        4    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1268(find_spec)
        4    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1236(_get_spec)
       71    0.000    0.000    0.003    0.000 C:\Program Files\Python37\lib\pathlib.py:635(_from_parts)
       10    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1352(find_spec)
       19    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        2    0.000    0.000    0.003    0.002 C:\Program Files\Python37\lib\zipfile.py:1150(__init__)
       72    0.001    0.000    0.003    0.000 C:\Program Files\Python37\lib\pathlib.py:615(_parse_args)
    13053    0.003    0.000    0.003    0.000 <string>:46(update)
        1    0.000    0.000    0.003    0.003 main.py:146(get_pack_info)
      895    0.002    0.000    0.003    0.000 C:\Users\maxim\Desktop\empty\kernel\ui.py:119(draw)
       97    0.000    0.000    0.003    0.000 C:\Users\maxim\Desktop\empty\kernel\space.py:291(relocate)
        2    0.001    0.000    0.003    0.001 C:\Program Files\Python37\lib\zipfile.py:1259(_RealGetContents)
    13053    0.003    0.000    0.003    0.000 <string>:49(draw)
    13053    0.003    0.000    0.003    0.000 <string>:98(endframe)
      126    0.001    0.000    0.002    0.000 C:\Program Files\Python37\lib\zipfile.py:712(read)
        9    0.001    0.000    0.002    0.000 C:\Program Files\Python37\lib\collections\__init__.py:316(namedtuple)
        1    0.000    0.000    0.002    0.002 C:\Program Files\Python37\lib\dis.py:3(<module>)
        1    0.001    0.001    0.002    0.002 C:\Users\maxim\Desktop\empty\kernel\config.py:33(__exit__)
      227    0.001    0.000    0.002    0.000 <string>:40(update)
        1    0.000    0.000    0.002    0.002 C:\Users\maxim\Desktop\empty\kernel\state_system.py:102(pop_state)
        4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:521(_compile_bytecode)
        4    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
  204/102    0.001    0.000    0.002    0.000 C:\Users\maxim\Desktop\empty\kernel\space.py:126(is_walkable)
      895    0.001    0.000    0.002    0.000 <string>:36(update)
       24    0.001    0.000    0.002    0.000 {built-in method builtins.__build_class__}
       72    0.001    0.000    0.002    0.000 C:\Program Files\Python37\lib\pathlib.py:50(parse_parts)
       42    0.002    0.000    0.002    0.000 {method 'decompress' of 'zlib.Decompress' objects}
  613/507    0.001    0.000    0.002    0.000 C:\Users\maxim\Desktop\empty\kernel\space.py:155(get_indexes_at)
       42    0.000    0.000    0.002    0.000 C:\Program Files\Python37\lib\zipfile.py:969(_read2)
       42    0.001    0.000    0.001    0.000 C:\Program Files\Python37\lib\zipfile.py:764(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\maxim\Desktop\empty\kernel\config.py:12(__enter__)
     2725    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
      101    0.000    0.000    0.001    0.000 C:\Users\maxim\Desktop\empty\kernel\space.py:240(xunplace_game_object)
      895    0.001    0.000    0.001    0.000 C:\Users\maxim\Desktop\empty\kernel\ui.py:42(<listcomp>)
      170    0.001    0.000    0.001    0.000 {method 'tell' of '_io.BufferedReader' objects}
        6    0.001    0.000    0.001    0.000 {built-in method builtins.print}
   194/97    0.001    0.000    0.001    0.000 C:\Users\maxim\Desktop\empty\kernel\space.py:135(get_walk_cost)
      101    0.000    0.000    0.001    0.000 C:\Users\maxim\Desktop\empty\kernel\space.py:230(xplace_game_object)
  202/101    0.001    0.000    0.001    0.000 C:\Users\maxim\Desktop\empty\kernel\space.py:233(unplace_game_object)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:949(path_stats)
      132    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:912(get_data)
      105    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
        4    0.001    0.000    0.001    0.000 {built-in method _curses.curs_set}
      106    0.000    0.000    0.001    0.000 C:\Users\maxim\Desktop\empty\kernel\vector2d.py:90(__add__)
      909    0.001    0.000    0.001    0.000 {built-in method builtins.any}
        4    0.000    0.000    0.001    0.000 <string>:30(new_blit)
  202/101    0.000    0.000    0.001    0.000 C:\Users\maxim\Desktop\empty\kernel\space.py:223(place_game_object)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      100    0.000    0.000    0.001    0.000 C:\Program Files\Python37\lib\pathlib.py:769(suffix)
        4    0.000    0.000    0.001    0.000 <string>:9(new_blit)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       42    0.000    0.000    0.001    0.000 C:\Program Files\Python37\lib\zipfile.py:985(close)
      895    0.001    0.000    0.001    0.000 C:\Users\maxim\Desktop\empty\kernel\ui.py:22(update)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      101    0.000    0.000    0.001    0.000 C:\Users\maxim\Desktop\empty\kernel\space.py:269(compute_collisions)
        4    0.000    0.000    0.001    0.000 C:\Program Files\Python37\lib\pathlib.py:1313(exists)
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python37\lib\opcode.py:7(<module>)
        4    0.000    0.000    0.001    0.000 C:\Program Files\Python37\lib\pathlib.py:1135(stat)
        7    0.000    0.000    0.001    0.000 C:\Program Files\Python37\lib\abc.py:125(__new__)
        1    0.000    0.000    0.001    0.001 C:\Users\maxim\Desktop\empty\kernel\config.py:50(__init__)
        2    0.000    0.000    0.001    0.000 C:\Program Files\Python37\lib\zipfile.py:229(_EndRecData)
       85    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFEEAF30740}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\curses\__init__.py:46(start_color)
       42    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\zipfile.py:675(_get_decompressor)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       13    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\inspect.py:613(cleandoc)
        1    0.000    0.000    0.000    0.000 {built-in method _curses.start_color}
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:269(cache_from_source)
        4    0.000    0.000    0.000    0.000 <string>:62(<lambda>)
        4    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\game_object.py:247(vanish)
       42    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
      177    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\pathlib.py:761(name)
        1    0.000    0.000    0.000    0.000 <string>:15(init)
        4    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\space.py:167(add_game_object)
        4    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\space.py:208(rem_game_object)
       49    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\pathlib.py:788(stem)
