         52294458 function calls (37544902 primitive calls) in 47.447 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       54    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\collections\__init__.py:388(<genexpr>)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\threading.py:216(__init__)
       71    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        8    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\vector2d.py:38(copy)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       87    0.000    0.000    0.000    0.000 <string>:32(handle_events)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\_collections_abc.py:657(get)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:469(_validate_timestamp_pyc)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:399(_check_name_wrapper)
        4    0.000    0.000    0.000    0.000 <string>:9(__init__)
        4    0.000    0.000    0.000    0.000 <string>:82(text_changed)
        4    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        4    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        4    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\game_object.py:150(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\collections\abc.py:1(<module>)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\enum.py:478(_find_new_)
        9    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\enum.py:176(<setcomp>)
       16    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\game_object.py:69(attach)
       42    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       29    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:882(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1315(__init__)
        6    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\pathlib.py:658(_format_parsed_parts)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\os.py:673(__getitem__)
       12    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\opcode.py:43(name_op)
       54    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       10    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\enum.py:26(_is_dunder)
        1    0.000    0.000    0.000    0.000 {built-in method _curses.setupterm}
       39    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\json\encoder.py:259(_make_iterencode)
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        4    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\state_system.py:153(defer)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\json\decoder.py:346(raw_decode)
       10    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\game_object.py:196(<listcomp>)
       36    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\state_system.py:95(_push_state)
       23    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       54    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
        4    0.000    0.000    0.000    0.000 {method 'bkgd' of '_curses.window' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
        7    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\opcode.py:47(jrel_op)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\threading.py:243(__exit__)
        1    0.000    0.000    0.000    0.000 <string>:93(<lambda>)
       10    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\enum.py:34(_is_sunder)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\abc.py:141(__subclasscheck__)
        4    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\game_object.py:151(<listcomp>)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\codecs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\inspect.py:2406(Parameter)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\threading.py:240(__enter__)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\threading.py:75(RLock)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\threading.py:728(_newname)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\os.py:743(encodekey)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\threading.py:252(_acquire_restore)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\inspect.py:2690(Signature)
       23    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\json\encoder.py:104(__init__)
        1    0.000    0.000    0.000    0.000 <string>:6(MonoEngine)
        4    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\_weakrefset.py:81(add)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\threading.py:1206(current_thread)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\codecs.py:186(__init__)
        1    0.000    0.000    0.000    0.000 <string>:6(TextDisplay)
        5    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\enum.py:18(_is_descriptor)
        1    0.000    0.000    0.000    0.000 <string>:14(__init__)
        6    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\opcode.py:51(jabs_op)
        1    0.000    0.000    0.000    0.000 <string>:9(init)
        4    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\game_object.py:243(exists)
       12    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\pathlib.py:648(_from_parsed_parts)
        9    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        3    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\json\encoder.py:223(floatstr)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\enum.py:63(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        3    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\state_system.py:13(__init__)
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\threading.py:255(_is_owned)
       12    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        4    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        4    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\state_system.py:52(defer)
        1    0.000    0.000    0.000    0.000 <string>:12(LoadGameMenu)
        4    0.000    0.000    0.000    0.000 {method 'attrset' of '_curses.window' objects}
        1    0.000    0.000    0.000    0.000 <string>:12(NewGameMenu)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        4    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\game_object.py:153(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\inspect.py:2560(BoundArguments)
        1    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\state_system.py:67(__init__)
        1    0.000    0.000    0.000    0.000 <string>:6(Sprite)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\zipfile.py:1765(__del__)
       28    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\game_object.py:92(collision_enter)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        4    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\game_object.py:154(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       10    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        4    0.000    0.000    0.000    0.000 {method 'nodelay' of '_curses.window' objects}
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\threading.py:249(_release_save)
        8    0.000    0.000    0.000    0.000 {built-in method _curses.color_pair}
        1    0.000    0.000    0.000    0.000 <string>:12(MainGame)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:907(get_filename)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        2    0.000    0.000    0.000    0.000 {method 'keypad' of '_curses.window' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\enum.py:326(__getattr__)
        1    0.000    0.000    0.000    0.000 <string>:10(Alert)
        1    0.000    0.000    0.000    0.000 <string>:9(BlitFactory)
        2    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 <string>:6(APRefill)
        1    0.000    0.000    0.000    0.000 {built-in method _curses.noecho}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\os.py:1076(__subclasshook__)
        1    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\ui.py:71(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\color_sys.py:19(__init__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\dis.py:461(Bytecode)
        1    0.000    0.000    0.000    0.000 <string>:11(MainMenu)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\threading.py:1096(daemon)
        2    0.000    0.000    0.000    0.000 {method 'border' of '_curses.window' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1429(<setcomp>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1321(<genexpr>)
        1    0.000    0.000    0.000    0.000 <string>:6(Legs)
        1    0.000    0.000    0.000    0.000 {built-in method _curses.cbreak}
        1    0.000    0.000    0.000    0.000 <string>:11(Loading)
        1    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\enum.py:151(<dictcomp>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\ui.py:11(__init__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\os.py:737(check_str)
        2    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:717(create_module)
        1    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\ui.py:44(add_widget)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\zipfile.py:640(_check_compression)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\pathlib.py:88(join_parsed_parts)
        1    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\state_system.py:114(quit)
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\enum.py:195(<genexpr>)
        1    0.000    0.000    0.000    0.000 <string>:6(MainStateManager)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\dis.py:199(Instruction)
        2    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        5    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\inspect.py:880(BlockFinder)
        3    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\inspect.py:2380(_void)
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _curses.echo}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\inspect.py:2384(_empty)
        1    0.000    0.000    0.000    0.000 <string>:6(Bloc)
        5    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\threading.py:507(is_set)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\zipfile.py:1341(infolist)
        1    0.000    0.000    0.000    0.000 main.py:185(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\zipfile.py:1239(__enter__)
        1    0.000    0.000    0.000    0.000 <string>:13(cleanup)
        2    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\inspect.py:878(EndOfBlock)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 {built-in method _curses.nocbreak}
        2    0.000    0.000    0.000    0.000 <string>:52(pause)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.globals}


